Account Id,Account Owner,Account Owner Id,Rating,Account Name,Phone,Account Site,Fax,Parent Account,Parent Account Id,Website,Account Number,Ticker Symbol,Account Type,Ownership,Industry,Employees,Annual Revenue,SIC Code,Created By,Created By Id,Modified By,Modified By Id,Created Time,Modified Time,Currency,Exchange Rate,Last Activity Time,Billing Street,Shipping Street,Billing City,Shipping City,Billing State,Shipping State,Billing Code,Shipping Code,Billing Country,Shipping Country,Description
zcrm_265928000000061081,Amelia Burrows,zcrm_265928000000034003,,Green minerals,900-555-5261,,,,,www.greenmin.com,0,,Analyst,,Entertinement,0,0,0,Amelia Burrows,zcrm_265928000000034003,Amelia Burrows,zcrm_265928000000034003,10/10/11 6:56,28/11/11 13:44,USD,1,28/11/11 13:44,,,,,,,,,United States,,
zcrm_265928000000061083,Amelia Burrows,zcrm_265928000000034003,,Edge communications,900-555-5163,,,,,www.chndco.com,0,,,,Publishing,0,0,0,Amelia Burrows,zcrm_265928000000034003,Amelia Burrows,zcrm_265928000000034003,10/10/11 6:56,28/11/11 13:45,USD,1,28/11/11 13:45,,,,,,,,,Australia,,
zcrm_265928000000061085,Amelia Burrows,zcrm_265928000000034003,,Forever Fashion,900-555-0123,,312-555-8701,,,www.none.com,0,,,,IT Services,0,1200000,0,Amelia Burrows,zcrm_265928000000034003,Amelia Burrows,zcrm_265928000000034003,10/10/11 6:56,28/11/11 13:44,USD,1,28/11/11 13:44,12345 Nagle Lane,12345 Nagle Lane,Chicago,Chicago,IL,IL,60621,60621,United States,,Fortune 500 test company
zcrm_265928000000061087,Amelia Burrows,zcrm_265928000000034003,,Wild Oats Markets,900-555-0122,,,,,symphony.com,0,,Vikarbureauer,,Retail,0,0,0,Amelia Burrows,zcrm_265928000000034003,Amelia Burrows,zcrm_265928000000034003,10/10/11 6:56,28/11/11 13:44,USD,1,28/11/11 13:44,,,,,,,,,United States,,
zcrm_265928000000061089,Amelia Burrows,zcrm_265928000000034003,Active,Bonanza Produce Stores,900-555-0121,,,Zillum Inc.,zcrm_265928000000127011,activecare.com,0,,Vikarbureauer,,Insurance,0,0,0,Amelia Burrows,zcrm_265928000000034003,Amelia Burrows,zcrm_265928000000034003,10/10/11 6:56,31/05/13 22:31,USD,1,31/05/13 22:31,"3500, Bayshore, Burlingame",,San Francisco,,CA,,94010,,USA,,
zcrm_265928000000061091,Amelia Burrows,zcrm_265928000000034003,,Treble Notes Inc,900-555-0120,,,,,homedepot.com,0,,,,Banking,0,0,0,Amelia Burrows,zcrm_265928000000034003,Amelia Burrows,zcrm_265928000000034003,10/10/11 6:56,28/11/11 13:44,USD,1,28/11/11 13:44,,,,,,,,,United Kingdom,,
zcrm_265928000000061093,Amelia Burrows,zcrm_265928000000034003,,Thomas Publishers,900-555-0119,,,,,www.mch.com,0,,,,Professional Services,0,0,0,Amelia Burrows,zcrm_265928000000034003,Amelia Burrows,zcrm_265928000000034003,10/10/11 6:56,28/11/11 13:44,USD,1,28/11/11 13:44,,,,,,,,,United States,,
zcrm_265928000000061095,Amelia Burrows,zcrm_265928000000034003,,Homes For Sale Pvt Ltd,900-555-0119,,,,,www.esplanade.com,0,,Hotel,,IT Services,0,0,0,Amelia Burrows,zcrm_265928000000034003,Amelia Burrows,zcrm_265928000000034003,10/10/11 6:56,28/11/11 13:44,USD,1,28/03/13 19:55,"STROSSMAYEROVO ÅæET. 52
51260 CRIKVENICA",,Crikvenica,,,,,,United States,,
zcrm_265928000000061097,Amelia Burrows,zcrm_265928000000034003,,Blue Rivers Pvt Ltd,900-555-0119,,,,,www.omorika.com,0,,Hotel,,Technology,0,0,0,Amelia Burrows,zcrm_265928000000034003,Amelia Burrows,zcrm_265928000000034003,10/10/11 6:56,27/02/13 6:10,USD,1,27/02/13 6:10,"Milovana MuÅ_eviÛˆa bb
51260 Cikvenica",,London,,,,,,United Kingdom,,
zcrm_265928000000061101,Amelia Burrows,zcrm_265928000000034003,,Lawson Associates,800-555-0115,,,,,www.bristol.com,0,,Hotel,,Technology,0,0,0,Amelia Burrows,zcrm_265928000000034003,Amelia Burrows,zcrm_265928000000034003,10/10/11 6:56,28/11/11 13:45,USD,1,28/11/11 13:45,,,Lovran,,,,,,Australia,,
